"Transcript"	"miRNA"	"UTR_length"	"Site_range"	"Seed_range"	"Seed_kind"	"GU_pair"	"tA1"	"region12.17"	"region4.15"	"X2.8_range"	"X9.11_range"	"X12._range"	"Seed44_score"	"Seed47_score"	"Seed50_score"	"Ghybrid"	"Ghybrid_score"	"Gnucl"	"Gnucl_score"	"Gtotal"	"Gtotal_score"	"SiteAcc"	"SiteAcc_score"	"UpsAcc"	"UpsAcc_score"	"DwsAcc"	"DwsAcc_score"	"SeedAcc"	"SeedAcc_score"	"SiteBegin"	"SiteBegin_score"	"UpAU"	"UpAU_score"	"DwAU"	"DwAU_score"
"NM_001039655"	"let-7d"	1000	"402-423"	"418-423"	"offset-6mer"	0	0	0	0	"418-423"	"409-410"	"402-408"	0.5103	0.746	0.5154	-18.5	1.0443	-3.79	1.2986	-0.532	0.9882	0.49	1.2496	0.336	0.8468	0.383	0.9418	0.746	1.3477	0.4	1.1358	0.5	0.9943	0.4	0.6512
"NM_001039655"	"let-7e"	1000	"274-309"	"304-309"	"offset-6mer"	0	0	0	0	"304-309"	"294-294"	"274-292"	0.5103	0.746	0.5154	-15.3	1.1325	-3.458	1.2555	20.949	0.6134	0.449	1.0526	0.257	0.7616	0.445	0.897	0.511	0.972	0.27	0.9862	0.4	0.5555	0.467	1.177
"NM_001039655"	"let-7e"	1000	"392-423"	"418-423"	"offset-6mer"	0	0	0	0	"418-423"	"401-404"	"392-400"	0.5103	0.746	0.5154	-19	1.0325	-3.8	1.2986	14.837	0.6134	0.411	1.0526	0.392	1.0402	0.383	0.9418	0.746	1.3477	0.39	1.2247	0.533	1.2974	0.4	0.6512
"NM_001039655"	"let-7e"	1000	"287-311"	"304-309"	"offset-6mer"	0	1	0	0	"304-309"	"0-0"	"287-298"	0.5103	0.746	0.5154	-17.4	1.0668	-3.458	1.2555	4.829	0.6134	0.467	1.2496	0.289	0.7616	0.466	1.0082	0.511	0.972	0.28	0.9862	0.367	0.5555	0.433	0.7471
"NM_001039655"	"let-7f"	1000	"287-309"	"304-309"	"offset-6mer"	0	0	0	0	"304-309"	"296-303"	"287-293"	0.5103	0.746	0.5154	-20.3	1.004	-3.61	1.2986	0.178999999999998	0.6134	0.491	1.2496	0.289	0.7616	0.445	0.897	0.511	0.972	0.28	0.9862	0.367	0.5555	0.467	1.177
"NM_001039655"	"let-7f"	1000	"402-423"	"418-423"	"offset-6mer"	0	0	0	0	"418-423"	"411-411"	"402-410"	0.5103	0.746	0.5154	-16.3	1.1736	-3.79	1.2986	1.668	0.6134	0.49	1.2496	0.336	0.8468	0.383	0.9418	0.746	1.3477	0.4	1.1358	0.5	0.9943	0.4	0.6512
"NM_001039655"	"let-7f"	1000	"287-311"	"304-309"	"offset-6mer"	0	1	0	0	"304-309"	"296-303"	"287-293"	0.5103	0.746	0.5154	-21.1	1.0916	-3.61	1.2986	1.129	0.6134	0.467	1.2496	0.289	0.7616	0.466	1.0082	0.511	0.972	0.28	0.9862	0.367	0.5555	0.433	0.7471
"NM_001039655"	"let-7g"	1000	"287-309"	"304-309"	"offset-6mer"	0	0	0	0	"304-309"	"296-303"	"287-295"	0.5103	0.746	0.5154	-20.2	1.004	-3.61	1.2986	0.279	0.6134	0.491	1.2496	0.289	0.7616	0.445	0.897	0.511	0.972	0.28	0.9862	0.367	0.5555	0.467	1.177
"NM_001039655"	"let-7g"	1000	"413-423"	"418-423"	"offset-6mer"	0	0	0	0	"418-423"	"416-417"	"413-415"	0.5103	0.746	0.5154	-17.4	1.0668	-3.828	1.2986	-11.292	1.4031	0.623	2.0466	0.312	0.8468	0.383	0.9418	0.746	1.3477	0.41	1.1358	0.333	0.4085	0.4	0.6512
"NM_001039655"	"let-7g"	1000	"287-311"	"304-309"	"offset-6mer"	0	1	0	0	"304-309"	"296-303"	"287-295"	0.5103	0.746	0.5154	-21	1.0916	-3.61	1.2986	1.229	0.6134	0.467	1.2496	0.289	0.7616	0.466	1.0082	0.511	0.972	0.28	0.9862	0.367	0.5555	0.433	0.7471
"NM_001039655"	"let-7i"	1000	"287-309"	"304-309"	"offset-6mer"	0	0	0	0	"304-309"	"298-303"	"287-297"	0.5103	0.746	0.5154	-28.9	0.8004	-3.612	1.2986	-8.421	1.3055	0.491	1.2496	0.289	0.7616	0.445	0.897	0.511	0.972	0.28	0.9862	0.367	0.5555	0.467	1.177
"NM_001039655"	"let-7i"	1000	"404-423"	"418-423"	"offset-6mer"	0	0	0	0	"418-423"	"416-417"	"404-415"	0.5103	0.746	0.5154	-20.3	1.004	-3.846	1.2986	-4.714	1.1323	0.504	1.5549	0.312	0.8468	0.383	0.9418	0.746	1.3477	0.4	1.1358	0.5	0.9943	0.4	0.6512
"NM_001039655"	"let-7i"	1000	"287-311"	"304-309"	"offset-6mer"	0	1	0	0	"304-309"	"298-303"	"287-297"	0.5103	0.746	0.5154	-29.7	0.8004	-3.612	1.2986	-7.471	1.2566	0.467	1.2496	0.289	0.7616	0.466	1.0082	0.511	0.972	0.28	0.9862	0.367	0.5555	0.433	0.7471
"NM_001039655"	"miR-139-5p"	1000	"714-748"	"742-747"	"7mer-A1"	0	1	0	0	"726-747"	"724-725"	"714-721"	1.6495	0.746	1.6569	-23.2	0.9746	-0.583	0.8816	0.43	0.6134	0.356	0.881	0.454	1.199	0.522	1.1927	0.408	0.929	0.71	1.0081	0.467	0.9943	0.667	1.5177
"NM_001039655"	"miR-1906"	1000	"257-277"	"272-277"	"offset-6mer"	0	0	0	0	"272-277"	"268-270"	"257-267"	0.5103	0.746	0.5154	-28.4	0.8004	0	0.64	-1.75	1.0822	0.149	0.744	0.497	1.199	0.523	1.1927	0.001	0.8894	0.25	0.9862	0.433	0.7997	0.367	0.6512
"NM_001039655"	"miR-1906"	1000	"257-280"	"272-277"	"offset-6mer"	0	1	0	0	"272-279"	"268-270"	"257-267"	0.5103	0.746	0.5154	-29.1	0.8004	0	0.64	5.812	0.6134	0.13	0.744	0.497	1.199	0.591	1.3818	0.001	0.8894	0.25	0.9862	0.433	0.7997	0.367	0.6512
"NM_001039655"	"miR-196a"	1000	"402-424"	"418-423"	"6mer"	0	0	0	0	"418-423"	"414-415"	"402-411"	0.8377	0.746	0.8845	-20.9	1.004	-3.829	1.2986	-2.912	1.0364	0.472	1.2496	0.336	0.8468	0.391	0.9418	0.746	1.3477	0.4	1.1358	0.5	0.9943	0.4	0.6512
"NM_001039655"	"miR-196a"	1000	"289-310"	"304-309"	"6mer"	0	0	0	0	"303-309"	"301-302"	"289-299"	0.8377	0.746	0.8845	-22.4	1.0075	-3.433	1.2555	-0.692999999999998	0.9882	0.439	1.0526	0.341	0.8468	0.448	0.897	0.511	0.972	0.28	0.9862	0.367	0.5555	0.467	1.177
"NM_001039655"	"miR-196b"	1000	"402-424"	"418-423"	"6mer"	0	0	0	0	"418-423"	"414-415"	"402-413"	0.8377	0.746	0.8845	-26.8	0.8004	-3.829	1.2986	-8.812	1.3055	0.472	1.2496	0.336	0.8468	0.391	0.9418	0.746	1.3477	0.4	1.1358	0.5	0.9943	0.4	0.6512
"NM_001039655"	"miR-196b"	1000	"275-310"	"304-309"	"6mer"	0	0	0	0	"303-309"	"287-302"	"275-286"	0.8377	0.746	0.8845	-23.9	0.9746	-7.363	1.3739	11.342	0.6134	0.457	1.2496	0.207	0.6022	0.448	0.897	0.511	0.972	0.27	0.9862	0.367	0.5555	0.467	1.177
"NM_001039655"	"miR-26a"	1000	"650-695"	"690-695"	"6mer"	0	0	0	0	"690-695"	"673-675"	"650-672"	0.8377	0.746	0.8845	-18	1.0443	-0.27	0.64	15.149	0.6134	0.348	0.81	0.437	1.0676	0.565	1.3818	0.278	0.8845	0.65	0.8754	0.567	1.6667	0.4	0.6512
"NM_001039655"	"miR-26b"	1000	"647-695"	"690-695"	"6mer"	0	0	0	0	"690-695"	"673-675"	"647-672"	0.8377	0.746	0.8845	-14.8	1.0323	-0.253	0.64	19.232	0.6134	0.37	0.881	0.47	1.199	0.565	1.3818	0.278	0.8845	0.64	0.8754	0.567	1.6667	0.4	0.6512
"NM_001039655"	"miR-28"	1000	"642-663"	"658-663"	"offset-6mer"	0	0	0	0	"658-663"	"0-0"	"642-655"	0.5103	0.746	0.5154	-19.8	1.0325	-0.391	0.64	-1.303	1.0822	0.338	0.81	0.594	1.2699	0.345	0.8562	0.346	0.8784	0.64	0.8754	0.6	1.6667	0.533	1.3782
"NM_001039655"	"miR-543"	1000	"509-532"	"527-532"	"6mer"	0	0	0	0	"525-532"	"521-524"	"509-520"	0.8377	0.746	0.8845	-19.7	1.0325	-1.107	0.9299	2.358	0.6134	0.338	0.81	0.542	1.0912	0.561	1.3818	0.402	0.929	0.5	1.1948	0.433	0.7997	0.567	1.7471
"NM_001039655"	"miR-708"	1000	"642-663"	"658-663"	"offset-6mer"	0	0	0	0	"658-663"	"653-653"	"642-652"	0.5103	0.746	0.5154	-21.5	1.0916	-0.273	0.64	-3.003	1.166	0.338	0.81	0.594	1.2699	0.345	0.8562	0.346	0.8784	0.64	0.8754	0.6	1.6667	0.533	1.3782
"NM_001039655"	"miR-761"	1000	"410-426"	"421-426"	"offset-6mer"	0	0	0	0	"421-426"	"416-416"	"410-413"	0.5103	0.746	0.5154	-19.2	1.0325	-0.431	0.64	-9.921	1.3181	0.498	1.2496	0.313	0.8468	0.381	0.9418	0.366	1.1102	0.41	1.1358	0.367	0.5555	0.4	0.6512
"NM_001039655"	"miR-761"	1000	"349-365"	"358-363"	"offset-6mer"	0	0	0	0	"358-363"	"355-357"	"349-354"	0.5103	0.746	0.5154	-25.8	0.8004	-0.083	0.64	-3.984	1.166	0.234	0.7059	0.483	1.199	0.437	0.897	0.262	0.8845	0.34	1.2247	0.5	0.9943	0.567	1.7471
"NM_001039655"	"miR-761"	1000	"370-375"	"370-375"	"offset-6mer"	0	0	0	0	"370-375"	"0-0"	"0-0"	0.5103	0.746	0.5154	-15.2	1.1325	-0.608	0.8816	-7.832	1.2566	0.304	0.81	0.281	0.7616	0.455	1.0082	0.304	0.8784	0.37	1.2247	0.467	0.9943	0.467	1.177
"NM_001039655"	"miR-761"	1000	"257-277"	"272-277"	"6mer"	0	0	0	0	"265-277"	"263-264"	"257-261"	0.8377	0.746	0.8845	-19.6	1.0325	-0.006	0.64	7.05	0.6134	0.149	0.744	0.497	1.199	0.523	1.1927	0.001	0.8894	0.25	0.9862	0.433	0.7997	0.367	0.6512
"NM_001039655"	"miR-761"	1000	"349-363"	"358-363"	"offset-6mer"	0	0	0	0	"358-363"	"355-357"	"349-354"	0.5103	0.746	0.5154	-25.5	0.8004	-0.083	0.64	-2.364	1.0364	0.242	0.7059	0.483	1.199	0.418	0.897	0.262	0.8845	0.34	1.2247	0.5	0.9943	0.533	1.3782
"NM_001039655"	"miR-763"	1000	"644-661"	"656-661"	"offset-6mer"	0	0	0	0	"656-661"	"655-655"	"644-652"	0.5103	0.746	0.5154	-18.4	1.0443	-1.536	1.0465	-3.836	1.166	0.368	0.881	0.544	1.0912	0.349	0.8562	0.376	1.1102	0.64	0.8754	0.567	1.6667	0.467	1.177
"NM_001039655"	"miR-98"	1000	"290-309"	"304-309"	"offset-6mer"	0	0	0	0	"304-309"	"303-303"	"290-300"	0.5103	0.746	0.5154	-20	1.004	-3.616	1.2986	1.117	0.6134	0.465	1.2496	0.343	0.8468	0.445	0.897	0.511	0.972	0.28	0.9862	0.367	0.5555	0.467	1.177
"NM_001039655"	"miR-98"	1000	"412-423"	"418-423"	"offset-6mer"	0	0	0	0	"418-423"	"417-417"	"412-416"	0.5103	0.746	0.5154	-15.8	1.1325	-3.846	1.2986	-9.043	1.3181	0.584	2.0304	0.308	0.8468	0.383	0.9418	0.746	1.3477	0.41	1.1358	0.333	0.4085	0.4	0.6512
"NM_001039655"	"miR-98"	1000	"290-311"	"304-309"	"offset-6mer"	0	1	0	0	"304-309"	"303-303"	"290-300"	0.5103	0.746	0.5154	-20.8	1.004	-3.616	1.2986	2.067	0.6134	0.44	1.0526	0.343	0.8468	0.466	1.0082	0.511	0.972	0.28	0.9862	0.367	0.5555	0.433	0.7471
"NM_007759"	"miR-106a"	900	"265-300"	"295-300"	"6mer"	0	0	0	0	"293-300"	"0-0"	"265-286"	0.8377	0.746	0.8845	-13.9	1.0323	-0.382	0.64	11.178	0.6134	0.474	1.2496	0.498	1.199	0.229	0.9747	0.357	1.1102	0.29	0.9862	0.4	0.5555	0.5	1.177
"NM_007759"	"miR-106b"	900	"252-300"	"295-300"	"6mer"	0	0	0	0	"289-300"	"273-288"	"252-272"	0.8377	0.746	0.8845	-11.8	1.0323	-0.397	0.64	9.355	0.6134	0.537	1.5549	0.222	0.6022	0.229	0.9747	0.357	1.1102	0.28	0.9862	0.533	1.2974	0.5	1.177
"NM_007759"	"miR-128"	900	"311-325"	"319-325"	"7mer-m8"	0	0	0	0	"319-325"	"0-0"	"311-313"	1.4556	0.746	1.5456	-16.5	1.1736	-4.563	1.5929	-5.331	1.0573	0.411	1.0526	0.399	1.0402	0.341	0.8562	0.685	1.3287	0.34	1.2247	0.667	2.016	0.5	1.177
"NM_007759"	"miR-133a"	900	"444-495"	"490-495"	"6mer"	0	0	0	0	"478-495"	"460-462"	"444-459"	0.8377	0.746	0.8845	-19.2	1.0325	-4.429	1.5223	13.558	0.6134	0.444	1.0526	0.384	1.0402	0.479	1.0082	0.619	1.4995	0.49	1.1358	0.533	1.2974	0.5	1.177
"NM_007759"	"miR-133b"	900	"444-495"	"490-495"	"6mer"	0	0	0	0	"478-495"	"460-462"	"444-459"	0.8377	0.746	0.8845	-19.2	1.0325	-4.429	1.5223	13.558	0.6134	0.444	1.0526	0.384	1.0402	0.479	1.0082	0.619	1.4995	0.49	1.1358	0.533	1.2974	0.5	1.177
"NM_007759"	"miR-138"	900	"511-546"	"541-546"	"offset-6mer"	0	0	0	0	"541-546"	"525-540"	"511-524"	0.5103	0.746	0.5154	-21.2	1.0916	-5.958	1.3837	-3.476	1.166	0.452	1.2496	0.503	1.0912	0.362	0.9418	0.35	0.8784	0.56	1.1948	0.5	0.9943	0.367	0.6512
"NM_007759"	"miR-17"	900	"265-300"	"295-300"	"6mer"	0	0	0	0	"289-300"	"273-288"	"265-272"	0.8377	0.746	0.8845	-14.1	1.0323	-0.382	0.64	10.978	0.6134	0.474	1.2496	0.498	1.199	0.229	0.9747	0.357	1.1102	0.29	0.9862	0.4	0.5555	0.5	1.177
"NM_007759"	"miR-20a"	900	"265-300"	"295-300"	"6mer"	0	0	0	0	"293-300"	"276-277"	"265-273"	0.8377	0.746	0.8845	-15.8	1.1325	-0.382	0.64	9.278	0.6134	0.474	1.2496	0.498	1.199	0.229	0.9747	0.357	1.1102	0.29	0.9862	0.4	0.5555	0.5	1.177
"NM_007759"	"miR-20b"	900	"265-300"	"295-300"	"6mer"	0	0	0	0	"289-300"	"287-288"	"265-273"	0.8377	0.746	0.8845	-15.9	1.1325	-0.382	0.64	9.178	0.6134	0.474	1.2496	0.498	1.199	0.229	0.9747	0.357	1.1102	0.29	0.9862	0.4	0.5555	0.5	1.177
"NM_007759"	"miR-27a"	900	"318-325"	"320-325"	"offset-6mer"	0	0	0	0	"320-325"	"318-319"	"0-0"	0.5103	0.746	0.5154	-17.5	1.0668	-5.352	1.4825	-14.95	1.6101	0.709	1.7591	0.205	0.6022	0.341	0.8562	0.661	1.3287	0.35	1.2247	0.633	1.7405	0.5	1.177
"NM_007759"	"miR-27b"	900	"307-325"	"320-325"	"offset-6mer"	0	0	0	0	"320-325"	"318-319"	"307-312"	0.5103	0.746	0.5154	-17.9	1.0668	-5.352	1.4825	-2.131	1.0364	0.439	1.0526	0.424	1.0676	0.341	0.8562	0.661	1.3287	0.34	1.2247	0.633	1.7405	0.5	1.177
"NM_007759"	"miR-328"	900	"435-464"	"459-464"	"offset-6mer"	0	0	0	0	"459-464"	"456-458"	"435-455"	0.5103	0.746	0.5154	-31.4	0.8004	-0.596	0.8816	-7.211	1.2566	0.396	0.881	0.436	1.0676	0.47	1.0082	0.45	0.929	0.48	1.1358	0.6	1.6667	0.4	0.6512
"NM_007759"	"miR-582-5p"	900	"154-171"	"166-171"	"offset-6mer"	0	0	0	0	"166-171"	"164-165"	"154-158"	0.5103	0.746	0.5154	-17.4	1.0668	-4.208	1.5223	-7.013	1.2566	0.622	2.0466	0.474	1.199	0.352	0.9418	0.397	1.1102	0.17	0.9183	0.467	0.9943	0.567	1.7471
"NM_007759"	"miR-672"	900	"294-315"	"310-315"	"6mer"	0	0	0	0	"307-315"	"304-306"	"294-303"	0.8377	0.746	0.8845	-22.7	1.0075	-1.304	0.9299	-1.758	1.0822	0.282	0.6226	0.621	1.47	0.657	1.2492	0.191	0.6996	0.32	1.2247	0.5	0.9943	0.5	1.177
"NM_007759"	"miR-673-5p"	900	"213-251"	"245-250"	"offset-6mer"	0	0	0	0	"245-251"	"227-230"	"213-226"	0.5103	0.746	0.5154	-23.4	0.9746	-0.461	0.64	13.226	0.6134	0.326	0.81	0.455	1.199	0.618	1.3356	0.119	0.7836	0.23	0.9862	0.633	1.7405	0.4	0.6512
"NM_007759"	"miR-93"	900	"265-300"	"295-300"	"6mer"	0	0	0	0	"286-300"	"283-285"	"265-276"	0.8377	0.746	0.8845	-19.8	1.0325	-3.282	1.2555	5.278	0.6134	0.474	1.2496	0.498	1.199	0.229	0.9747	0.357	1.1102	0.29	0.9862	0.4	0.5555	0.5	1.177
"NM_024428"	"let-7a"	800	"364-393"	"386-391"	"offset-6mer"	0	0	1	0	"386-391"	"371-372"	"364-370"	0.8445	1.3404	0.5154	-17.3	1.0668	-6.094	1.049	2.62	0.6134	0.402	1.0526	0.351	1.0402	0.406	0.897	0.848	1.2639	0.45	1.1358	0.567	1.6667	0.567	1.7471
"NM_024428"	"let-7a"	800	"364-391"	"386-391"	"offset-6mer"	0	0	1	0	"386-391"	"371-372"	"364-370"	0.8445	1.3404	0.5154	-16.5	1.1736	-6.094	1.049	5.685	0.6134	0.421	1.0526	0.351	1.0402	0.384	0.9418	0.848	1.2639	0.45	1.1358	0.567	1.6667	0.567	1.7471
"NM_024428"	"let-7b"	800	"376-391"	"386-391"	"offset-6mer"	0	0	0	0	"386-391"	"385-385"	"376-382"	0.5103	0.746	0.5154	-20.8	1.004	-6.096	1.049	-3.681	1.166	0.473	1.2496	0.316	0.8468	0.384	0.9418	0.848	1.2639	0.47	1.1358	0.5	0.9943	0.567	1.7471
"NM_024428"	"let-7b"	800	"376-393"	"386-391"	"offset-6mer"	0	0	0	0	"386-391"	"385-385"	"376-382"	0.5103	0.746	0.5154	-21.6	1.0916	-6.096	1.049	-6.06	1.1616	0.435	1.0526	0.316	0.8468	0.406	0.897	0.848	1.2639	0.47	1.1358	0.5	0.9943	0.567	1.7471
"NM_024428"	"let-7c"	800	"360-391"	"386-391"	"offset-6mer"	0	0	1	0	"386-391"	"371-372"	"360-370"	0.8445	1.3404	0.5154	-18.7	1.0443	-6.094	1.049	7.145	0.6134	0.406	1.0526	0.383	1.0402	0.384	0.9418	0.848	1.2639	0.45	1.1358	0.6	1.6667	0.567	1.7471
"NM_024428"	"let-7c"	800	"360-393"	"386-391"	"offset-6mer"	0	0	1	0	"386-391"	"371-372"	"360-370"	0.8445	1.3404	0.5154	-19.5	1.0325	-6.094	1.049	3.987	0.6134	0.39	0.881	0.383	1.0402	0.406	0.897	0.848	1.2639	0.45	1.1358	0.6	1.6667	0.567	1.7471
"NM_024428"	"let-7d"	800	"373-391"	"386-391"	"offset-6mer"	0	0	0	0	"386-391"	"380-380"	"373-379"	0.5103	0.746	0.5154	-18.1	1.0443	-6.022	1.049	1.598	0.6134	0.414	1.0526	0.391	1.0402	0.384	0.9418	0.848	1.2639	0.46	1.1358	0.533	1.2974	0.567	1.7471
"NM_024428"	"let-7e"	800	"364-391"	"386-391"	"offset-6mer"	0	0	1	0	"386-391"	"371-385"	"364-370"	0.8445	1.3404	0.5154	-20.6	1.004	-6.29	1.049	1.585	0.6134	0.421	1.0526	0.351	1.0402	0.384	0.9418	0.848	1.2639	0.45	1.1358	0.567	1.6667	0.567	1.7471
"NM_024428"	"let-7e"	800	"364-393"	"386-391"	"offset-6mer"	0	0	1	0	"386-391"	"371-385"	"364-370"	0.8445	1.3404	0.5154	-21.4	1.0916	-6.29	1.049	-1.48	1.0822	0.402	1.0526	0.351	1.0402	0.406	0.897	0.848	1.2639	0.45	1.1358	0.567	1.6667	0.567	1.7471
"NM_024428"	"let-7f"	800	"364-393"	"386-391"	"offset-6mer"	0	0	1	0	"386-391"	"370-384"	"364-369"	0.8445	1.3404	0.5154	-17.5	1.0668	-6.088	1.049	2.42	0.6134	0.402	1.0526	0.351	1.0402	0.406	0.897	0.848	1.2639	0.45	1.1358	0.567	1.6667	0.567	1.7471
"NM_024428"	"let-7f"	800	"364-391"	"386-391"	"offset-6mer"	0	0	1	0	"386-391"	"370-384"	"364-369"	0.8445	1.3404	0.5154	-16.7	1.1736	-6.088	1.049	5.485	0.6134	0.421	1.0526	0.351	1.0402	0.384	0.9418	0.848	1.2639	0.45	1.1358	0.567	1.6667	0.567	1.7471
"NM_024428"	"let-7g"	800	"382-391"	"386-391"	"offset-6mer"	0	0	0	0	"386-391"	"0-0"	"382-385"	0.5103	0.746	0.5154	-14.7	1.0323	-6.084	1.049	-9.956	1.3181	0.632	2.0466	0.29	0.7616	0.384	0.9418	0.848	1.2639	0.47	1.1358	0.4	0.5555	0.567	1.7471
"NM_024428"	"let-7g"	800	"382-393"	"386-391"	"offset-6mer"	0	0	0	0	"386-391"	"0-0"	"382-385"	0.5103	0.746	0.5154	-15.5	1.1325	-6.084	1.049	-12.162	1.4095	0.548	1.5549	0.29	0.7616	0.406	0.897	0.848	1.2639	0.47	1.1358	0.4	0.5555	0.567	1.7471
"NM_024428"	"let-7i"	800	"365-391"	"386-391"	"offset-6mer"	0	0	0	0	"386-391"	"375-384"	"365-374"	0.5103	0.746	0.5154	-17	1.0668	-6.062	1.049	3.993	0.6134	0.434	1.0526	0.341	0.8468	0.384	0.9418	0.848	1.2639	0.45	1.1358	0.6	1.6667	0.567	1.7471
"NM_024428"	"let-7i"	800	"365-393"	"386-391"	"offset-6mer"	0	0	0	0	"386-391"	"375-384"	"365-374"	0.5103	0.746	0.5154	-17.8	1.0668	-6.062	1.049	0.989999999999998	0.6134	0.413	1.0526	0.341	0.8468	0.406	0.897	0.848	1.2639	0.45	1.1358	0.6	1.6667	0.567	1.7471
"NM_024428"	"miR-124"	800	"374-387"	"382-387"	"offset-6mer"	0	0	0	0	"382-387"	"380-381"	"374-379"	0.5103	0.746	0.5154	-25.1	0.8004	-0.785	0.8816	-8.422	1.3055	0.297	0.6226	0.402	1.0676	0.517	1.1927	0.475	1.1992	0.46	1.1358	0.567	1.6667	0.533	1.3782
"NM_024428"	"miR-124"	800	"394-410"	"405-410"	"offset-6mer"	0	0	0	0	"405-410"	"396-404"	"394-395"	0.5103	0.746	0.5154	-17.3	1.0668	-0.084	0.64	-2.5	1.0364	0.365	0.881	0.394	1.0402	0.627	1.3356	0.201	0.9229	0.49	1.1358	0.333	0.4085	0.533	1.3782
"NM_024428"	"miR-133a"	800	"378-397"	"392-397"	"offset-6mer"	0	0	0	0	"392-397"	"0-0"	"378-379"	0.5103	0.746	0.5154	-14.5	1.0323	-2.4	1.0134	-6.376	1.1616	0.531	1.5549	0.277	0.7616	0.307	0.8562	0.523	0.972	0.47	1.1358	0.5	0.9943	0.567	1.7471
